Side,Row,Space,Value
1,1,L,3
1,1,M,14
1,1,R,7
1,2,L,4
1,2,M,6
1,2,R,1
1,3,L,10
1,3,M,5
1,3,R,7
1,4,L,3
1,4,M,4
1,4,R,3
1,5,L,2
1,5,M,2
1,5,R,4
1,6,L,4
1,6,M,1
1,6,R,1
2,1,L,15
2,1,M,8
2,1,R,6
2,2,L,9
2,2,M,6
2,2,R,8
2,3,L,2
2,3,M,6
2,3,R,2
2,4,L,3
2,4,M,6
2,4,R,1
2,5,L,3
2,5,M,4
2,5,R,1
2,6,L,5
2,6,M,2
2,6,R,5
3,1,L,4
3,1,M,4
3,1,R,11
3,2,L,3
3,2,M,10
3,2,R,13
3,3,L,5
3,3,M,7
3,3,R,9
3,4,L,3
3,4,M,7
3,4,R,8
3,5,L,4
3,5,M,3
3,5,R,1
3,6,L,4
3,6,M,3
3,6,R,5
4,1,L,10
4,1,M,9
4,1,R,9
4,2,L,12
4,2,M,5
4,2,R,3
4,3,L,7
4,3,M,8
4,3,R,7
4,4,L,1
4,4,M,1
4,4,R,1
4,5,L,2
4,5,M,2
4,5,R,4
4,6,L,2
4,6,M,1
4,6,R,5
